Node,Naive_MAE,Roll_MAE,Naive_RMSE,Roll_RMSE
CE_M1_D1,0.20907188565048304,0.14339978308703893,0.24176460265695288,0.16752279122469102
CE_M1_D2,0.1433549596596419,0.14302529063493458,0.16007709716988086,0.15972522500121197
CE_M1_D3,0.03289788038427744,0.03990310353506306,0.0710811365093435,0.06669332184873598
CE_M1_D4,0.011293986653071972,0.011783441812510462,0.03460339553102434,0.03441987585591408
CE_M2_D1,0.14619501564810328,0.10731754162383907,0.1753182519932,0.135477512757221
CE_M2_D2,0.14198966329262525,0.12827985601291242,0.1626311131111508,0.14817204245045745
CE_M2_D3,0.05067591159798067,0.06061926082474178,0.060923304833573805,0.07024635378187884
CE_M2_D4,0.0227392707367955,0.022826300131132467,0.049836109801636864,0.04964657304723009
CE_M3_D1,0.0920642785280806,0.07472043859676566,0.12900841397758275,0.11383169663254276
CE_M3_D2,0.12502337137770858,0.11788473349916462,0.14785960798866077,0.14054015882391624
CE_M3_D3,0.035918083404862675,0.08599692680602423,0.043367484411671625,0.09207220101171958
CE_M3_D4,0.07010666902746748,0.029362758739243024,0.07939793209150578,0.03742093857328168
CE_M4_D1,0.08393910934138375,0.0673091982547701,0.1194439508493905,0.10288067800898965
CE_M4_D2,0.11688283142338378,0.11259853769343434,0.14036570753407404,0.13492451432019234
CE_M4_D3,0.03988621837653808,0.07661147754310896,0.04579648145135932,0.0869286693290451
CE_M4_D4,0.01793388622899019,0.055756469867338655,0.03876548362619908,0.058097531963829725
CE_M5_D1,0.11097200344085723,0.07760980363328168,0.137166026057776,0.09263802017410719
CE_M5_D2,0.0860478740457764,0.07930121372449077,0.11705827522957504,0.11017182625697534
CE_M5_D3,0.010129994494471222,0.01919367485652752,0.029800335653407457,0.03435771635703941
CE_M5_D4,0.01622979173028647,0.03930419555310592,0.03494493315216667,0.03934301440256898
PE_M1_D1,0.08866062539999112,0.06437691175767107,0.11564558199705474,0.08243221537238836
PE_M1_D2,0.07858356314768863,0.0768846159118581,0.10675173678938346,0.10471363652999198
PE_M1_D3,0.02139668466784809,0.028971391923695668,0.046987651214695184,0.043010008448252014
PE_M1_D4,0.02065995763245849,0.020841327992281854,0.045236813280916284,0.045090498905179514
PE_M2_D1,0.06883540199545912,0.05611640127664867,0.10434977161684274,0.08899947185624814
PE_M2_D2,0.0742116229851417,0.07352804235436462,0.10662460261151412,0.10452494857877948
PE_M2_D3,0.03560694596657708,0.06024777203928629,0.04980128730960283,0.06729406960623152
PE_M2_D4,0.01879150167249527,0.02422052609390275,0.041059420338795435,0.03798585211331384
PE_M3_D1,0.053095351272869504,0.04728648346026977,0.09654806193392992,0.08926383188822035
PE_M3_D2,0.0980572834698765,0.09779012471024885,0.11688948162454485,0.11635699828414715
PE_M3_D3,0.027648945053937213,0.06523776818250938,0.03933195446747593,0.07308162291185834
PE_M3_D4,0.022855810483230814,0.041264609248517894,0.04145838629127604,0.04223001025715948
PE_M4_D1,0.06141126287110832,0.06141126287110832,0.08826778505442372,0.08486978776435478
PE_M4_D2,0.09479723012785794,0.09705927774505152,0.10877940398386624,0.11165422057009787
PE_M4_D3,0.05285285698730814,0.07019986307833284,0.06478129977856614,0.07983620017455871
PE_M4_D4,0.014134273576889012,0.014514318920501534,0.030680604610037358,0.03039744103398591
PE_M5_D1,0.05844449924571664,0.05844449924571664,0.07966716236102024,0.06361953374902321
PE_M5_D2,0.052518159419789226,0.05514300157541248,0.07111154757266623,0.07416764799414932
PE_M5_D3,0.0007739447644501046,0.02395260186416614,0.0009503069765575053,0.023962214638536657
PE_M5_D4,0.011633647673396858,0.011737307710478146,0.024762955713245164,0.024687382273030984
